linkUrl,status,field_similarities,field_mismatches,missing_in_strapi,missing_in_contentful,detailed_diffs
difference-between-steel-beams-and-columns,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
what-are-the-various-grades-of-opc,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
hot-rolled-steel-crash-barriers-installation-techniques-and-best-practices,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
consumables-corner-role-of-welding-consumables-in-the-construction-industry,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
understanding-letters-of-credit-lc-and-their-role-in-supporting-msmes,❌ Missing,,,❌,,
all-about-eclgs-credit-scheme-for-msmes-hit-by-the-covid-19-pandemic,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
storage-solutions-with-coated-gi-steel-benefits-and-applications,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
applications-of-prestressed-concrete,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
10-tips-for-maintaining-steel-springs-for-optimal-suspension-performance,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
what-are-the-advantages-of-portland-slag-cement,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-to-prevent-construction-sites-from-water-logging,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
the-digitisation-of-steel-changing-the-industry-for-the-better,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 0.921; metaDescription: 0.976; categoryName: 1.0; timeDuration: 0.0,metaTitle (Similarity: 0.92); metaDescription (Similarity: 0.98); timeDuration (Exact match required),,,"metaTitle:

    <table class=""diff"" id=""difflib_chg_to18__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaTitle</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaTitle</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to18__0""><a href=""#difflib_chg_to18__top"">t</a></td><td class=""diff_header"" id=""from18_1"">1</td><td nowrap=""nowrap"">buy&nbsp;steel&nbsp;online&nbsp;steel&nbsp;digitization&nbsp;jsw&nbsp;one&nbsp;msme&nbsp;blog</td><td class=""diff_next""><a href=""#difflib_chg_to18__top"">t</a></td><td class=""diff_header"" id=""to18_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">test&nbsp;</span>buy&nbsp;steel&nbsp;online&nbsp;steel&nbsp;digitization&nbsp;jsw&nbsp;one&nbsp;msme&nbsp;blog</td></tr>
        </tbody>
    </table>
metaDescription:

    <table class=""diff"" id=""difflib_chg_to19__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaDescription</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaDescription</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to19__0""><a href=""#difflib_chg_to19__top"">t</a></td><td class=""diff_header"" id=""from19_1"">1</td><td nowrap=""nowrap"">the&nbsp;digitization&nbsp;of&nbsp;steel&nbsp;is&nbsp;definitely&nbsp;changing&nbsp;the&nbsp;industr</td><td class=""diff_next""><a href=""#difflib_chg_to19__top"">t</a></td><td class=""diff_header"" id=""to19_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">test&nbsp;</span>the&nbsp;digitization&nbsp;of&nbsp;steel&nbsp;is&nbsp;definitely&nbsp;changing&nbsp;the&nbsp;in</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">y&nbsp;for&nbsp;better&nbsp;read&nbsp;on&nbsp;to&nbsp;know&nbsp;more&nbsp;about&nbsp;how&nbsp;digitisation&nbsp;has</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">dustry&nbsp;for&nbsp;better&nbsp;read&nbsp;on&nbsp;to&nbsp;know&nbsp;more&nbsp;about&nbsp;how&nbsp;digitisatio</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">&nbsp;enabled&nbsp;the&nbsp;steel&nbsp;sellers&nbsp;to&nbsp;evolve&nbsp;better</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">n&nbsp;has&nbsp;enabled&nbsp;the&nbsp;steel&nbsp;sellers&nbsp;to&nbsp;evolve&nbsp;better</td></tr>
        </tbody>
    </table>"
what-to-pick-steel-copper-brass-or-bronze,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
the-role-of-coated-steel-in-solar-panel-manufacturing,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-to-select-the-right-steel-for-engine-and-transmission-components,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
thermal-performance-of-steel-framed-prefabricated-buildings,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
modern-methods-of-testing-steel-quality,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
stainless-steel-a-true-story-of-strength-and-resilience,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
types-of-cement-and-their-uses-in-construction-projects,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-to-select-the-right-tmt-for-your-project,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
steel-vs-concrete-support-structures-for-solar-panel-installations,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
uses-of-steel-cladding-sheets,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
electric-vehicle-boom-in-india-opportunities-for-the-msmes-to-catalyse-the,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
access-to-prime-capital-via-anchors-like-jsw-one,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-does-the-hydration-process-of-cement-work-and-why-is-it-crucial,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
tips-on-using-steel-in-the-design-and-construction-of-durable-industrial,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
off-balance-sheet-financing-how-businesses-can-access-funds-without-adding,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
the-importance-of-the-uts-ys-ratio-in-grading-tmt-bars,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
corrosion-resistant-steel-coatings-for-auto-parts-in-harsh-indian-climates,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
hot-rolled-steel-versatile-like-no-other,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
steel-ground-mounts-vs-roof-mounts-what-are-the-pros-and-cons,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
what-are-the-factors-that-contribute-to-the-quality-of-steel,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
galvanized-steel-an-indispensable-material-for-the-future-of-the-automotive,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
strategies-for-traders-and-distributors-to-master-cash-flow,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-steel-stamping-impacts-precision-in-auto-parts-production,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
the-economic-benefits-of-using-tmt-bars-in-infrastructure-projects,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
stainless-steel-properties-and-how-they-change-with-nickel,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
industrial-applications-of-prepainted-galvalume,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
steel-lifeline-of-the-hvac-industry,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
why-are-the-wire-rods-on-the-jsw-one-msme-platform-ideal-for-electrical-use,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
steel-marketwatch-july-2022,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
contemporary-uses-of-mild-steel,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
steel-wire-rods-linchpins-of-the-automotive-industry,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
industry-4-0-are-indian-msmes-all-set-for-the-next-wave-of-industrialization,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 0.0; timeDuration: 0.0,categoryName (Exact match required); timeDuration (Exact match required),,,
tmt-vs-tmx-vs-hysd,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
role-of-steel-in-enhancing-noise-vibration-and-harshness-nvh-vehicle,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
all-about-the-i-beams-in-construction,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
the-impact-of-tmt-bar-quality-on-building-durability,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
why-steel-remains-the-preferred-material-for-chassis-manufacturing-in-india,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
importance-of-carbon-content-in-steel-for-industrial-applications,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-car-sales-are-accelerating-the-steel-sector,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-steel-trusses-strengthen-the-roof-structure-of-pebs,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
factors-impacting-tmt-prices,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
what-is-the-role-played-by-concrete-admixtures-in-modern-construction,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
from-paint-to-coating-evaluating-colour-coated-steel-and-traditional-painted,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
difference-between-ordinary-portland-cement-and-portland-slag-cement,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
what-is-an-autoclaved-aerated-concrete-acc-block,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
10-benefits-of-precision-and-accuracy-with-cut-to-length-services,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
steels-role-in-disaster-resilient-prefabricated-buildings,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 0.906; metaDescription: 0.958; categoryName: 1.0; timeDuration: 0.0,metaTitle (Similarity: 0.91); metaDescription (Similarity: 0.96); timeDuration (Exact match required),,,"metaTitle:

    <table class=""diff"" id=""difflib_chg_to20__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaTitle</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaTitle</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to20__0""><a href=""#difflib_chg_to20__top"">t</a></td><td class=""diff_header"" id=""from20_1"">1</td><td nowrap=""nowrap"">steel&nbsp;s&nbsp;role&nbsp;in&nbsp;prefabricated&nbsp;buildings&nbsp;jsw&nbsp;one&nbsp;msme&nbsp;blog</td><td class=""diff_next""><a href=""#difflib_chg_to20__top"">t</a></td><td class=""diff_header"" id=""to20_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">test&nbsp;</span>steel&nbsp;s&nbsp;role&nbsp;in&nbsp;prefabricated&nbsp;buildings&nbsp;jsw&nbsp;one&nbsp;msme&nbsp;bl</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header""></td><td nowrap=""nowrap"">&nbsp;</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">og</td></tr>
        </tbody>
    </table>
metaDescription:

    <table class=""diff"" id=""difflib_chg_to21__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaDescription</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaDescription</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to21__0""><a href=""#difflib_chg_to21__top"">t</a></td><td class=""diff_header"" id=""from21_1"">1</td><td nowrap=""nowrap"">discover&nbsp;how&nbsp;steel&nbsp;s&nbsp;strength&nbsp;adaptability&nbsp;and&nbsp;sustainabilit</td><td class=""diff_next""><a href=""#difflib_chg_to21__top"">t</a></td><td class=""diff_header"" id=""to21_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">test&nbsp;</span>discover&nbsp;how&nbsp;steel&nbsp;s&nbsp;strength&nbsp;adaptability&nbsp;and&nbsp;sustaina</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">y&nbsp;drive&nbsp;disaster&nbsp;resilient&nbsp;structures&nbsp;learn&nbsp;about&nbsp;the&nbsp;materi</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">bility&nbsp;drive&nbsp;disaster&nbsp;resilient&nbsp;structures&nbsp;learn&nbsp;about&nbsp;the&nbsp;m</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">als&nbsp;used&nbsp;cost&nbsp;factors&nbsp;and&nbsp;advantages</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">aterials&nbsp;used&nbsp;cost&nbsp;factors&nbsp;and&nbsp;advantages</td></tr>
        </tbody>
    </table>"
key-considerations-when-designing-with-steel-in-modular-furniture,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
the-influence-of-water-cement-ratio-on-workability-and-strength,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-to-use-google-search-to-help-grow-your-business,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
why-should-you-buy-steel-from-a-trusted-supplier,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 0.0; metaDescription: 0.0; categoryName: 1.0; timeDuration: 0.0,metaTitle (Similarity: 0.00); metaDescription (Similarity: 0.00); timeDuration (Exact match required),,,"metaTitle:

    <table class=""diff"" id=""difflib_chg_to22__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaTitle</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaTitle</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to22__0""><a href=""#difflib_chg_to22__top"">t</a></td><td class=""diff_header"" id=""from22_1"">1</td><td nowrap=""nowrap""><span class=""diff_sub"">n&nbsp;a</span></td><td class=""diff_next""><a href=""#difflib_chg_to22__top"">t</a></td><td class=""diff_header"" id=""to22_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">buy&nbsp;steel&nbsp;online&nbsp;industrial&nbsp;materials&nbsp;marketplace&nbsp;jsw&nbsp;one&nbsp;ms</span></td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header""></td><td nowrap=""nowrap"">&nbsp;</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap""><span class=""diff_add"">me</span></td></tr>
        </tbody>
    </table>
metaDescription:

    <table class=""diff"" id=""difflib_chg_to23__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaDescription</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaDescription</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to23__0""><a href=""#difflib_chg_to23__top"">t</a></td><td class=""diff_header"" id=""from23_1"">1</td><td nowrap=""nowrap""><span class=""diff_sub"">n&nbsp;a</span></td><td class=""diff_next""><a href=""#difflib_chg_to23__top"">t</a></td><td class=""diff_header"" id=""to23_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">buy&nbsp;the&nbsp;best&nbsp;quality&nbsp;steel&nbsp;welding&nbsp;consumables&nbsp;tmt&nbsp;and&nbsp;cemen</span></td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header""></td><td nowrap=""nowrap"">&nbsp;</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap""><span class=""diff_add"">t&nbsp;online&nbsp;at&nbsp;jsw&nbsp;one&nbsp;msme&nbsp;the&nbsp;online&nbsp;marketplace&nbsp;for&nbsp;manufact</span></td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header""></td><td nowrap=""nowrap"">&nbsp;</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap""><span class=""diff_add"">uring&nbsp;construction&nbsp;material&nbsp;requirements</span></td></tr>
        </tbody>
    </table>"
how-hot-rolled-steel-makes-i-beams-resilient,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
cash-flow-challenges-faced-by-oems,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-the-pli-scheme-is-empowering-msmes-a-review,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
cement-applications-in-residential-construction,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
udyog-aadhar-what-is-it-and-how-can-you-get-one,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-tmt-steel-redefines-infrastructure-development,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
structural-steel-connections-bolted-vs-welded-joints-pros-cons-and,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-steel-is-used-in-the-automobile-industry-past-present-and-future,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
navigating-supply-chain-disruptions-in-construction,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 0.0; categoryName: 1.0; timeDuration: 0.0,metaDescription (Similarity: 0.00); timeDuration (Exact match required),,,"metaDescription:

    <table class=""diff"" id=""difflib_chg_to24__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaDescription</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaDescription</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to24__0""><a href=""#difflib_chg_to24__top"">t</a></td><td class=""diff_header"" id=""from24_1"">1</td><td nowrap=""nowrap""><span class=""diff_sub"">n&nbsp;a</span></td><td class=""diff_next""><a href=""#difflib_chg_to24__top"">t</a></td><td class=""diff_header"" id=""to24_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">buy&nbsp;the&nbsp;best&nbsp;quality&nbsp;steel&nbsp;welding&nbsp;consumables&nbsp;tmt&nbsp;and&nbsp;cemen</span></td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header""></td><td nowrap=""nowrap"">&nbsp;</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap""><span class=""diff_add"">t&nbsp;online&nbsp;at&nbsp;jsw&nbsp;one&nbsp;msme&nbsp;the&nbsp;online&nbsp;marketplace&nbsp;for&nbsp;manufact</span></td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header""></td><td nowrap=""nowrap"">&nbsp;</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap""><span class=""diff_add"">uring&nbsp;construction&nbsp;material&nbsp;requirements</span></td></tr>
        </tbody>
    </table>"
